,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
2,"CARR, BOB",S4MI00298,MI,REP,Challenger,Senate,"[1994, 1996, 1998, 2000, 2018, 2020]","[1994, 2018, 2020]",REP,N
3,"CHRISTIANA, JAMES JOSEPH III",S8PA00270,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
4,"CODAY, ARTHUR JR MD",S0WA00258,WA,REP,Challenger,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2010, 2012, 2018]",REP,P
5,"COREY, MATTHEW MCKINNON",S8CT00121,CT,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
6,"CORKER, ROBERT P JR",S6TN00216,TN,REP,Incumbent,Senate,"[2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018]",REP,P
7,"COSON, GARY LYNN",S8CA00473,CA,REP,Challenger,Senate,[2018],[2018],REP,N
8,"CRAMER, KEVIN MR.",S8ND00120,ND,REP,,Senate,"[2018, 2020]","[2018, 2024]",REP,F
9,"CRIM, LARRY R",S2TN00223,TN,REP,Open seat,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2014, 2018, 2020]",REP,N
10,"CRUZ, ERIN",S8CA00440,CA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
11,"CRUZ, RAFAEL EDWARD  TED",S2TX00312,TX,REP,,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018, 2024]",REP,F
12,"CURTIS , RON",S8HI00210,HI,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
13,"DE LA FUENTE, ROQUE ROCKY",S8RI00151,RI,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
14,"DE LA FUENTE, ROQUE ROCKY",S8DE00178,DE,REP,Challenger,Senate,[2018],[2018],REP,C
15,"DE LA FUENTE, ROQUE ""ROCKY""",S8FL00299,FL,REP,Challenger,Senate,[2018],[2018],REP,C
16,"DE STEFANO, STEFANO",S8TX00319,TX,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
17,"DIAZ, MINERVA DR",S8VA00339,VA,REP,Challenger,Senate,[2018],[2018],REP,C
18,"DIEGEL, CHRISTIAN",S8AZ00213,AZ,REP,Open seat,Senate,"[2018, 2020]",[2018],REP,P
19,"DIEHL, GEOFF",S8MA00276,MA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
0,"DODSON, DAVID",S8WY00197,WY,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
1,"DOWNING, TROY",S8MT00218,MT,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
2,"FADDIS, CHARLES S",S8MD00237,MD,REP,Challenger,Senate,[2018],[2018],REP,C
3,"FAGG, RUSSELL C",S8MT00275,MT,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
4,"FARLEY, CHELE CHIAVACCI",S8NY00215,NY,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
5,"FINCHER, STEPHEN",S8TN00352,TN,REP,Open seat,Senate,"[2018, 2020]",[2018],REP,P
6,"FISCHER, DEBRA S.",S2NE00094,NE,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018, 2024]",REP,F
7,"FLAKE, JEFF",S2AZ00141,AZ,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018]",REP,P
8,"FLANAGAN, PATRICIA",S8NJ00541,NJ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C
9,"FLANDERS, ROBERT MR",S8RI00128,RI,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
10,"FREITAS, NICHOLAS JASON",S8VA00313,VA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
11,"GAZALA, SARAH",S8NV00164,NV,REP,Challenger,Senate,[2018],[2018],REP,C
12,"GENTILE, DOMINIC",S8AL00332,AL,REP,Challenger,Senate,[2018],[2018],REP,N
13,"GIBBONS, MICHAEL",S8OH00086,OH,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
14,"GIBSON, JOSEPH",S8WA00244,WA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
15,"GOLDBERG, BRIAN DAVID MR",S4NJ00292,NJ,REP,Challenger,Senate,"[2014, 2016, 2018, 2020]","[2014, 2018]",REP,P
16,"GRIGORIAN, CHRISTINA",S8MD00336,MD,REP,Challenger,Senate,[2018],[2018],REP,C
17,"HAHN, PATRICK JOHN",S8NY00199,NY,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
18,"HARDY, CHARLES E",S4WY00097,WY,REP,Challenger,Senate,"[2014, 2016, 2018, 2020]","[2014, 2018]",REP,P
19,"HATCH, ORRIN G",S6UT00063,UT,REP,Incumbent,Senate,"[1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1976, 1982, 1988, 1994, 2000, 2006, 2012, 2018]",REP,P
0,"HAWLEY, JOSHUA DAVID",S8MO00160,MO,REP,,Senate,"[2018, 2020]","[2018, 2024]",REP,F
1,"HECK, THOMAS",S6NV00275,NV,REP,Challenger,Senate,"[2016, 2018]","[2016, 2018]",REP,N
2,"HELLER, DEAN",S2NV00183,NV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018]",REP,P
3,"HENDERSON, TERRY O",S8IN00130,IN,REP,Challenger,Senate,[2018],[2018],REP,C
4,"HOLLAND, JOSEPH H",S8NY00207,NY,REP,Challenger,Senate,[2018],[2018],REP,N
5,"HORNING, ANDY",S2IN00109,IN,REP,Challenger,Senate,"[2012, 2014, 2018]","[2012, 2018]",REP,N
6,"HOUSLEY, KARIN",S8MN00586,MN,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
7,"HUGIN, ROBERT",S8NJ00509,NJ,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
8,"HURT, MARK",S8IN00122,IN,REP,Challenger,Senate,[2018],[2018],REP,C
9,"HUTCHISON, SUSAN",S8WA00319,WA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
10,"HYDE-SMITH, CINDY",S8MS00261,MS,REP,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",REP,C
11,"INVICTUS, AUGUSTUS SOL",S6FL00301,FL,REP,Challenger,Senate,"[2016, 2018]","[2016, 2018]",REP,N
12,"JACKSON, EARL W SR",S2VA00167,VA,REP,Challenger,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018]",REP,P
13,"JACOBSON JR, BRUCE",S8TX00350,TX,REP,Challenger,Senate,[2018],[2018],REP,C
14,"JAMES, JOHN",S8MI00372,MI,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C
15,"JENKINS, EVAN H",S8WV00127,WV,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
16,"JIMENEZ, TIMOTHY ADRIAN",S8UT00234,UT,REP,Open seat,Senate,"[2018, 2020]",[2018],REP,N
17,"JONES, GRIFFIN GILBERT",S8WI00232,WI,REP,Challenger,Senate,[2018],[2018],REP,C
18,"JONES, LATERESA ANN",S6FL00277,FL,REP,Challenger,Senate,"[2014, 2016, 2018, 2020]","[2016, 2018]",REP,N
19,"KENNEDY, MIKE",S8UT00242,UT,REP,Open seat,Senate,"[2018, 2020]",[2018],REP,P
0,"KILEY, DAN",S8OH00110,OH,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
1,"KINGSTON, JOHN MR",S8MA00318,MA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
2,"LAWRENCE, ROBERT MR",S8PA00288,PA,REP,Challenger,Senate,[2018],[2018],REP,C
3,"LINDSTROM, BETH",S8MA00326,MA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
4,"LITTLE, PATRICK",S8CA00606,CA,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
5,"MACEK, DENNIS FRANK",S8NE00208,NE,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
6,"MANDEL, JOSH",S2OH00170,OH,REP,Challenger,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018]",REP,P
7,"MARSHALL, ROGER W",H6KS01179,KS,REP,Incumbent,Senate,"[2016, 2018, 2020]","[2016, 2018, 2020]",REP,C
8,"MCDANIEL, CHRISTOPHER BRIAN",S4MS00120,MS,REP,Open seat,Senate,"[2014, 2016, 2018, 2020]","[2014, 2018]",REP,P
9,"MCSALLY, MARTHA",S8AZ00221,AZ,REP,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",REP,C
10,"MESSER, ALLEN LUCAS",S8IN00163,IN,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
11,"MEYERS, LARRY MICHAEL",S8UT00168,UT,REP,Open seat,Senate,"[2018, 2020]",[2018],REP,P
12,"MILLER, MARY ANN",S8TX00343,TX,REP,Challenger,Senate,[2018],[2018],REP,N
13,"MONETTI, RAFFAELE ANTONIO",S8MO00137,MO,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
14,"MOORE, ROY JUDGE",S8AL00340,AL,REP,Challenger,Senate,[2018],[2018],REP,N
15,"MORRISEY, PATRICK MR",S8WV00143,WV,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
16,"MURRAY, RONALD",S8MT00226,MT,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,N
17,"NABLIBA, MARIO",S8CA00523,CA,REP,Challenger,Senate,[2018],[2018],REP,C
18,"NARDOLILLO, ROBERT ANTHONY III",S8RI00110,RI,REP,Challenger,Senate,[2018],[2018],REP,C
19,"NEWBERGER, JAMES WALLACE",S8MN00552,MN,REP,Challenger,Senate,"[2018, 2020]",[2018],REP,P
