,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state
31,"HAMM, LAWRENCE MR.",S0NJ00233,NJ,DEM,Challenger,[2020],67.0,41504.0,7.0,2500.0
32,"HARRIS, NANCY LYNN",S0ID00149,ID,DEM,Challenger,[2020],22.0,8121.2,4.0,1000.0
33,"HARRISON, JAIME",S0SC00289,SC,DEM,Challenger,[2020],18931.0,1718735.23,105000.0,10123577.95
34,"HART, CLARA M MS",S0SD00096,SD,DEM,Challenger,[2020],1.0,400.0,,
35,"HEGAR, MARY JENNINGS MJ",S0TX00233,TX,DEM,Challenger,[2020],11379.0,1602179.74,5263.0,2231961.2699999996
36,"HICKENLOOPER, JOHN W.",S0CO00575,CO,DEM,Challenger,[2020],12424.0,3398213.56,13374.0,7071317.430000001
37,"HILLIARD, MAGGIE JO",S0KY00511,KY,DEM,Challenger,[2020],1.0,5600.0,2.0,490.12
38,"HILLIARD, MAGGIE JO",S0KY00487,KY,DEM,Challenger,[2020],1.0,5600.0,2.0,490.12
39,"JACKSON, DEBORAH A",S0GA00591,GA,DEM,Challenger,[2020],5.0,2300.0,4.0,1650.0
40,"JANICEK, CHRIS EDWARD MR",S8NE00216,NE,DEM,Challenger,"[2018, 2020]",58.0,18153.19,15.0,6995.0
41,"JOHNSON-SHEALEY, TAMARA",S0GA00484,GA,DEM,Challenger,[2020],14.0,3690.0,29.0,5048.5
42,"JOHNSTON, MICHAEL C",S0CO00468,CO,DEM,Challenger,[2020],1808.0,1400694.74,1421.0,2088698.9100000001
43,"JONES, DOUG",S0AL00156,AL,DEM,Incumbent,"[2002, 2004, 2018, 2020]",6869.0,1569818.78,28772.0,7150753.95
44,"JONES, MATT",S0KY00370,KY,DEM,Challenger,[2020],1.0,2800.0,3.0,8400.0
45,"JORDAN LAWLOR, MARILYN",S0IL00576,IL,DEM,Challenger,[2020],11.0,3716.0,,
46,"JORDAN, PAULETTE",S0ID00180,ID,DEM,Challenger,[2020],266.0,66178.58,132.0,52048.56
47,"KELLY, MARK",S0AZ00350,AZ,DEM,Challenger,[2020],49292.0,6322262.65,99114.0,18429967.210000005
48,"KENNEDY, JOSEPH P III",S0MA00208,MA,DEM,Challenger,[2020],3953.0,2963065.05,5521.0,4430571.320000001
49,"KIDMAN, BRE MX.",S0ME00087,ME,DEM,Challenger,[2020],21.0,2343.6,8.0,8820.0
50,"KIMBROUGH, ROBIN",S0TN00268,TN,DEM,Open seat,[2020],19.0,5085.0,3.0,1200.0
51,"KNOX, JAMES",S0GA00674,GA,DEM,Challenger,[2020],1.0,300.0,,
52,"LAJEUNESSE, ROSS",S0ME00145,ME,DEM,Challenger,[2020],19.0,20450.0,360.0,264170.0
53,"LIEBERMAN, MATTHEW",S0GA00468,GA,DEM,Challenger,[2020],214.0,131095.98,854.0,904189.24
54,"LISS-RIORDAN, SHANNON MS.",S0MA00166,MA,DEM,Challenger,[2020],308.0,64118.2,343.0,163724.0
55,"LOVE, JOHN BENARD III",S0TX00308,TX,DEM,Challenger,[2020],34.0,21743.0,1.0,257.5
56,"LUDWIG, YANA",S0WY00129,WY,DEM,Open seat,[2020],28.0,5317.69,47.0,17879.78
57,"LUJAN, BEN RAY",S0NM00058,NM,DEM,Open seat,[2020],6815.0,957568.24,19841.0,2533686.32
58,"MACKLER, JAMES",S8TN00311,TN,DEM,Open seat,"[2018, 2020]",4258.0,1187668.04,754.0,462207.95999999996
59,"MADDEN, ALICE",S0CO00534,CO,DEM,Challenger,[2020],337.0,116502.43,82.0,34112.43
60,"MAHONY, JOSHUA MR.",S0AR00200,AR,DEM,Challenger,[2020],287.0,87820.0,81.0,26305.0
61,"MANSFIELD, ERIC",S0NC00327,NC,DEM,Challenger,[2020],124.0,82791.72,14.0,16300.0
62,"MARKEY, EDWARD J. SEN.",S4MA00028,MA,DEM,Incumbent,"[1984, 1986, 1988, 2014, 2016, 2018, 2020]",18932.0,2796223.08,7742.0,3597620.2300000004
63,"MAURO, EDDIE J",S0IA00150,IA,DEM,Challenger,[2020],155.0,76184.0,157.0,117268.0
64,"MCGRATH, AMY",S0KY00339,KY,DEM,Challenger,[2020],4816.0,645121.63,90172.0,17156112.75
65,"MERKLEY, JEFFREY ALAN",S8OR00207,OR,DEM,Incumbent,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]",27811.0,1834286.77,10805.0,1151278.54
66,"MUES, JOHN",S0MT00108,MT,DEM,Challenger,[2020],160.0,45109.16,134.0,68182.0
67,"NEUMANN, CORA",S0MT00132,MT,DEM,Challenger,[2020],183.0,96665.0,652.0,437578.11
68,"OJEDA, RICHARD",S0WV00249,WV,DEM,Challenger,[2020],,,11.0,13900.0
69,"OSSOFF, T. JONATHAN",S8GA00180,GA,DEM,Challenger,[2020],3502.0,1221597.71,8841.0,2453657.3299999996
70,"PEMBERTON, STEVE",S0MA00182,MA,DEM,Challenger,[2020],123.0,98125.0,382.0,324585.0
71,"PETERS, GARY",S4MI00355,MI,DEM,Incumbent,"[2014, 2016, 2018, 2020]",29820.0,4958902.28,17303.0,7332970.28
72,"PHILIPS, ANGELIC MARIE",S0NE00072,NE,DEM,Challenger,[2020],39.0,6277.62,,
73,"PICKRELL, MARK",S0TN00284,TN,DEM,Open seat,[2020],1.0,250.0,,
74,"PIERCE, ANTOINE",S0LA00311,LA,DEM,Challenger,[2020],19.0,31925.5,3.0,5385.0
75,"REDDI, USHA",S0KS00307,KS,DEM,Open seat,[2020],81.0,39703.98,85.0,51380.5
76,"REED, JOHN F.",S6RI00163,RI,DEM,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",670.0,341876.27,975.0,983148.3099999999
77,"RIGGS AMICO, SARAH",S0GA00401,GA,DEM,Challenger,[2020],581.0,218001.8,429.0,347632.56
78,"ROGERS, BEVON",S0OK00354,OK,DEM,Challenger,[2020],3.0,1250.0,,
79,"ROMANOFF, ANDREW",S0CO00286,CO,DEM,Challenger,"[2010, 2012, 2014, 2016, 2018, 2020]",13853.0,1851289.4,1440.0,314913.15
80,"ROTHMULLER, ERIC",S0KY00388,KY,DEM,Challenger,[2020],,,1.0,500.0
81,"SCARANE, JESSICA",S0DE00175,DE,DEM,Challenger,[2020],323.0,49291.91,540.0,85535.67
82,"SHAHEEN, JEANNE",S0NH00219,NH,DEM,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",10288.0,1699083.02,32844.0,6887654.620000001
83,"SHELTON, ALISHA",S0NE00098,NE,DEM,Challenger,[2020],22.0,10695.0,10.0,5120.2
84,"SHOUSE, HAROLD SHELBY MR JR",S0GA00435,GA,DEM,Challenger,[2020],1.0,350.0,,
85,"SMITH, ERICA DANETTE",S0NC00343,NC,DEM,Challenger,[2020],1129.0,115482.02,616.0,45135.59
86,"SMITH, TINA",S8MN00578,MN,DEM,Incumbent,"[2018, 2020]",12672.0,1986934.38,10406.0,3451495.7
87,"SPAULDING, STEPHANY ROSE",S0CO00484,CO,DEM,Challenger,[2020],399.0,50561.55,71.0,26599.309999999998
88,"SWEARENGIN, PAULA JEAN",S0WV00215,WV,DEM,Challenger,[2020],201.0,12206.0,1106.0,210064.47000000003
89,"SWEET, BETSY",S0ME00103,ME,DEM,Challenger,[2020],1761.0,197807.34,1378.0,204638.47
90,"TARVER, EDWARD J.",S0GA00583,GA,DEM,Challenger,[2020],173.0,93284.81,52.0,24596.72
91,"TERRY, EDWARD",S0GA00419,GA,DEM,Challenger,[2020],168.0,50937.0,43.0,11705.0
92,"TINUBU, GLORIA BROMELL DR.",S0SC00305,SC,DEM,Challenger,[2020],7.0,4760.0,16.0,9450.0
0,"ADAIR, STANLEY E",S0AL00248,,REP,Challenger,[2020],11.0,1428.99,,
1,"ADKINS, GARY GENE",S0VA00096,,REP,Challenger,[2020],2.0,3200.0,,
2,"ALEXANDER, LAMAR",S2TN00058,,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",,,2.0,5000.0
3,"AYYADURAI, SHIVA DR",S8MA00268,,REP,Challenger,"[2018, 2020]",35.0,9781.79,223.0,114574.22
4,"BALDWIN, ALISSA",S0VA00070,,REP,Challenger,[2020],10.0,885.0,,
5,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,,REP,Challenger,[2020],25.0,14192.0,8.0,8532.0
6,"BIERSCHWALE, VIRGIL",S0TX00365,,REP,Challenger,[2020],26.0,904.0,,
7,"BOLDUC, DONALD C.",S0NH00326,,REP,Challenger,[2020],484.0,189893.64,601.0,370928.86
8,"BORGLUM, SCYLLER",S0SD00088,,REP,Challenger,[2020],25.0,9471.48,24.0,18046.71
9,"BRITTAIN, CRAIG R",S8AZ00189,,REP,Challenger,"[2018, 2020]",2.0,1015.58,,
10,"BROOKS, NATISHA",S0TN00235,,REP,Open seat,[2020],8.0,1080.0,,
11,"BUCKNER, DWAYNE DUKE",S0SC00321,,REP,Challenger,[2020],13.0,5600.0,2.0,500.0
12,"BUSH, BYRON",S0TN00201,,REP,Open seat,[2020],9.0,7250.0,1.0,500.0
13,"BYRNE, BRADLEY ROBERTS",S0AL00206,,REP,Challenger,[2020],1436.0,1497586.0,260.0,339073.0
14,"CAPITO, SHELLEY MOORE",S4WV00159,,REP,Incumbent,"[2012, 2014, 2016, 2018, 2020]",506.0,400121.4,1258.0,1523971.4400000004
15,"CASSIDY, WILLIAM M.",S4LA00107,,REP,Incumbent,"[2014, 2016, 2018, 2020]",1807.0,1168324.52,2529.0,2156010.0000000005
16,"CHLEBEK, CASEY",S0IL00550,,REP,Challenger,[2020],1.0,250.0,1.0,1000.0
17,"CLARKSON, GAVIN",S0NM00066,,REP,Open seat,[2020],223.0,56802.24,1208.0,599178.8699999999
18,"COLLINS, DOUGLAS ALLEN",S0GA00567,,REP,Challenger,[2020],1414.0,753790.02,958.0,417814.22
19,"COLLINS, SUSAN M.",S6ME00159,,REP,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",2473.0,881118.0,15657.0,9268915.87
20,"CORNYN, JOHN SEN",S2TX00106,,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",34021.0,7201514.32,9996.0,3477330.18
21,"COTTON, THOMAS",S4AR00103,,REP,Incumbent,"[2014, 2016, 2018, 2020]",3363.0,652921.76,9997.0,2616793.5700000003
22,"CURRAN, MARK",S0IL00543,,REP,Challenger,[2020],132.0,90925.0,14.0,20150.0
23,"DAINES, STEVE",S2MT00096,,REP,Incumbent,"[2010, 2012, 2014, 2016, 2018, 2020]",3149.0,1709581.97,7642.0,4463834.38
24,"DEMARTINO, JAMES",S0DE00191,,REP,Challenger,[2020],8.0,3960.0,18.0,8500.0
25,"DUNN, BLAINE P HON.",S0VA00187,,REP,Challenger,[2020],3.0,1750.0,1.0,1000.0
26,"ENZI, MICHAEL B",S6WY00126,,REP,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",,,25.0,16600.0
27,"ERNST, JONI K",S4IA00129,,REP,Incumbent,"[2014, 2016, 2018, 2020]",8457.0,1674502.85,17995.0,4927650.45
28,"FAULKNER, OMARI",S0VA00179,,REP,Challenger,[2020],125.0,101131.65,91.0,41125.0
29,"FLANAGAN, PATRICIA",S8NJ00541,,REP,Challenger,"[2018, 2020]",11.0,11342.21,,
30,"GADE, DANIEL MACARTHUR MR.",S0VA00146,,REP,Challenger,[2020],903.0,407304.02,290.0,212939.0
31,"GAPP, JOSHUA DOMINIQUE GREGORY",S0TN00151,,REP,Open seat,[2020],12.0,7300.0,8.0,12800.0
32,"GARDNER, CORY",S4CO00395,,REP,Incumbent,"[2014, 2016, 2018, 2020]",14563.0,3492930.46,11323.0,6240104.46
33,"GRAHAM, LINDSEY O.",S0SC00149,,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",8114.0,1791128.11,52555.0,11164839.379999997
34,"GRAYSON, DERRICK E REV",S0GA00658,,REP,Challenger,[2020],4.0,1250.0,10.0,3750.0
35,"HAGERTY, BILL",S0TN00169,,REP,Open seat,[2020],2083.0,3332903.0,927.0,1780395.0
36,"HAMILTON, BOB",S0KS00349,,REP,Open seat,[2020],86.0,159000.0,25.0,27900.0
37,"HENRY, JON",S0TN00276,,REP,Open seat,[2020],10.0,4640.0,2.0,1500.0
38,"HUBBARD, PEGGY",S0IL00501,,REP,Challenger,[2020],27.0,6231.0,103.0,37611.0
39,"HYDE-SMITH, CINDY",S8MS00261,,REP,Incumbent,"[2018, 2020]",703.0,594686.34,1048.0,425758.58
40,"INHOFE, JAMES M. SEN.",S4OK00083,,REP,Incumbent,"[1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",871.0,756600.94,857.0,933460.1
41,"INNIS, MATT",S0NE00080,,REP,Challenger,[2020],74.0,44537.0,7.0,8600.0
42,"JAMES, JOHN",S8MI00372,,REP,Challenger,"[2018, 2020]",9633.0,3873760.81,9084.0,4154247.55
43,"JAMES, NAREN",S0KY00461,,REP,Challenger,[2020],1.0,60.0,,
44,"JOHNSON, ARTHUR WAYNE",S0GA00492,,REP,Challenger,[2020],2.0,800.0,1.0,250.0
45,"KOBACH, KRIS",S0KS00257,,REP,Open seat,[2020],358.0,212438.01,561.0,496112.99
46,"LAPIERRE, MICHAEL JAMES",S0SC00313,,REP,Challenger,[2020],26.0,21271.34,12.0,4254.94
47,"LARSON, DANIEL RICHARD",S0MT00157,,REP,Challenger,[2020],1.0,500.0,,
48,"LATURNER, JAKE",S0KS00208,,REP,Open seat,[2020],204.0,427907.0,34.0,72950.0
49,"LEVASSEUR, DEREK ALLEN",S0ME00095,,REP,Challenger,[2020],4.0,1250.0,2.0,2300.0
50,"LEWIS, JASON",S0MN00328,,REP,Challenger,[2020],2270.0,909013.41,1153.0,309603.94
51,"LINDSTROM, DAVID ALAN",S0KS00240,,REP,Open seat,[2020],356.0,357933.05,137.0,162510.0
52,"LOEFFLER, KELLY",S0GA00526,,REP,Incumbent,[2020],977.0,1201876.85,492.0,428155.8
53,"LUMMIS, CYNTHIA MARIE MRS.",S0WY00137,,REP,Open seat,[2020],405.0,266961.51,507.0,370610.34
54,"MARSHALL, ROGER W",S0KS00315,,REP,Open seat,[2020],1289.0,1266917.09,397.0,430025.0
55,"MARTINEZ, ELISA",S0NM00090,,REP,Open seat,[2020],451.0,178973.2,473.0,69025.25
56,"MATLOCK, BRIAN",S0KS00331,,REP,Open seat,[2020],4.0,1489.7,15.0,9817.1
57,"MAVIS, NEIL J MR.",S0OK00438,,REP,Challenger,[2020],3.0,1429.01,2.0,5600.0
58,"MCCARTHY, DANIEL",S0AZ00376,,REP,Challenger,[2020],69.0,24755.0,3.0,1500.0
59,"MCCONNELL, MITCH",S2KY00012,,REP,Incumbent,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",5403.0,1801534.96,104835.0,20679014.36
60,"MCSALLY, MARTHA",S8AZ00221,,REP,Incumbent,"[2018, 2020]",27921.0,4639037.87,96217.0,12293945.38
61,"MEHTA, RIKIN",S0NJ00217,,REP,Challenger,[2020],108.0,34557.76,120.0,29156.5
62,"MEISSNER, STUART",S4NJ00250,,REP,Challenger,"[2014, 2016, 2018, 2020]",2.0,750.0,18.0,13500.0
63,"MERRILL, JOHN H",S0AL00289,,REP,Challenger,[2020],595.0,723435.0,41.0,46201.0
64,"MESSNER, BRYANT 'CORKY' S.",S0NH00334,,REP,Challenger,[2020],81.0,45855.0,314.0,420860.70000000007
65,"MILLER, BRYAN",S4WY00147,,REP,Open seat,"[2014, 2016, 2018, 2020]",10.0,7950.0,6.0,4000.0
66,"MOONEY, ARNOLD",S0AL00263,,REP,Challenger,[2020],135.0,115049.52,908.0,338503.05
67,"MOORE, ROY STEWART",S0AL00297,,REP,Challenger,[2020],32.0,19810.0,175.0,62129.6
68,"MORGAN, CLINTON WESLEY",S0KY00297,,REP,Challenger,[2020],13.0,10048.0,12.0,9062.0
69,"MORRELL, KENT",S0TN00250,,REP,Open seat,[2020],1.0,250.0,3.0,1000.0
70,"O'BRIEN, WILLIAM LAWRENCE",S0NH00318,,REP,Challenger,[2020],54.0,39819.59,21.0,14806.54
71,"O'CONNOR, KEVIN J",S0MA00232,,REP,Challenger,[2020],146.0,164968.55,72.0,84400.0
72,"OSBORNE, JOHN E.",S0TN00326,,REP,Open seat,[2020],3.0,1084.05,,
73,"PERDUE, DAVID",S4GA11285,,REP,Incumbent,"[2014, 2016, 2018, 2020]",7211.0,5644169.86,3119.0,3574548.9800000004
74,"PERKINS, JO RAE",S4OR00156,,REP,Challenger,"[2014, 2016, 2020]",16.0,9340.0,3.0,1517.0
75,"PRESLEY, JOHNNY W",S0TN00219,,REP,Open seat,[2020],8.0,13350.0,,
76,"PRUITT, BRYAN",S0KS00281,,REP,Open seat,[2020],8.0,2200.0,10.0,2500.0
77,"REYNOLDS, JOSEPH",S0SC00297,,REP,Challenger,[2020],3.0,1350.0,15.0,6900.0
78,"RICH, MICK",S8NM00200,,REP,Open seat,"[2018, 2020]",74.0,89630.0,9.0,7600.0
79,"RISCH, JAMES E",S8ID00092,,REP,Incumbent,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]",84.0,69050.0,747.0,891490.01
80,"ROMERO, PAUL JOSEPH MR. JR.",S0OR00337,,REP,Challenger,[2020],8.0,3200.0,1.0,500.0
81,"RONCHETTI, MARK V.",S0NM00124,,REP,Open seat,[2020],1882.0,815235.2,42.0,61050.0
82,"ROUNDS, MIKE",S4SD00049,,REP,Incumbent,"[2012, 2014, 2016, 2018, 2020]",636.0,510260.97,669.0,753129.2499999999
83,"SANCHEZ, LOUIE J",S0NM00116,,REP,Open seat,[2020],62.0,50430.0,16.0,7910.0
84,"SASSE, BENJAMIN E",S4NE00090,,REP,Incumbent,"[2014, 2016, 2018, 2020]",512.0,325991.96,1289.0,1648190.1
85,"SESSIONS, JEFFERSON B",S6AL00195,,REP,Challenger,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",785.0,928128.0,599.0,425344.7
86,"SETHI, DR. MANNY",S0TN00144,,REP,Open seat,[2020],1563.0,1461499.21,829.0,630099.47
87,"SHORT, ROBERT G",S0WY00160,,REP,Open seat,[2020],79.0,60434.96,2.0,300.0
88,"SINGH, HIRSH V",S0NJ00191,,REP,Challenger,[2020],330.0,88398.17,480.0,114241.49
89,"STITT, JJ MR.",S0OK00347,,REP,Challenger,[2020],15.0,29157.64,2.0,1000.0
90,"STOVALL, DWAYNE",S4TX00433,,REP,Challenger,"[2014, 2016, 2018, 2020]",131.0,53766.0,2.0,1250.0
91,"SULLIVAN, DAN",S4AK00214,,REP,Incumbent,"[2014, 2016, 2018, 2020]",1571.0,868134.67,2754.0,3561713.42
92,"TARTER, THOMAS",S0IL00527,,REP,Challenger,[2020],97.0,59395.67,5.0,2900.0
93,"TAYLOR, KANDISS SHARPE DR",S0GA00641,,REP,Challenger,[2020],5.0,3900.0,,
94,"TAYLOR, SCOTT W.",S0VA00104,,REP,Challenger,[2020],173.0,126035.0,325.0,353544.0
95,"TILLIS, THOM R. SEN.",S4NC00162,,REP,Incumbent,"[2014, 2016, 2018, 2020]",4312.0,2520254.5,6791.0,4149528.09
96,"TUBERVILLE, THOMAS H",S0AL00230,,REP,Challenger,[2020],2247.0,1848391.56,932.0,831499.5
97,"TUCKER, GARLAND S III",S0NC00319,,REP,Challenger,[2020],727.0,440605.76,49.0,46225.0
98,"WAGLE, SUSAN",S0KS00299,,REP,Open seat,[2020],242.0,306690.47,84.0,45825.0
99,"WATERS, ALLEN",S0RI00067,,REP,Challenger,[2020],10.0,4510.0,2.0,3050.0
100,"WHEELER, JOSHUA B",S0WY00103,,REP,Open seat,[2020],7.0,5375.0,3.0,700.0
101,"WHITT, LARRY ALLEN II",S0WV00231,,REP,Challenger,[2020],8.0,4650.0,6.0,3250.0
